"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"86","F1","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",34.21682739,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,31,NA,"Y","N","SM5"
"87","F2","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.86131287,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,29,NA,"Y","N","SM5"
"88","F2","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",34.4916687,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,32,NA,"Y","N","SM5"
"89","F3","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.34096527,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM5"
"90","F3","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.74342346,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,31,NA,"Y","N","SM5"
"91","D4","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.4507885,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,13,NA,"Y","N","SM6"
"92","D4","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.16658974,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM6"
"93","D5","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.93768311,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,15,NA,"Y","N","SM6"
"94","D5","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.28821564,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM6"
"95","D6","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.91380882,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM6"
"96","D6","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.4426384,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM6"
"97","E4","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.55600929,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM6"
"98","E4","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.10382462,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM6"
"99","E5","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.5208931,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,20,NA,"Y","N","SM6"
"100","E5","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.01039886,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM6"
"101","E6","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.59894753,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,20,NA,"Y","N","SM6"
"102","E6","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.05950546,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM6"
"103","F4","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.41750336,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,27,NA,"Y","N","SM6"
"104","F4","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.96140289,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM6"
"105","F5","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.52452278,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM6"
"106","F5","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.89094925,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM6"
"107","F6","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.55595589,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM6"
