"","Well","Sample_name","Species","Conc","Tot_drop","Positives","Negatives","plate","pres","int_concentation","species_idx","st_idx","sp_st_idx"
"229","G01","Std-CS3","Saithe",8113.163086,19770,19750,20,"Std_CS",1,10000,3,8,23
"230","G01","Std-CS3","Cod",8451.612305,19770,19755,15,"Std_CS",1,10000,1,8,8
"231","G02","Std-CS3","Saithe",8190.503418,19002,18984,18,"Std_CS",1,10000,3,8,23
"232","G02","Std-CS3","Cod",8126.89502,19002,18983,19,"Std_CS",1,10000,1,8,8
"233","G03","Std-CS3","Saithe",9793.678711,20621,20616,5,"Std_CS",1,10000,3,8,23
"234","G03","Std-CS3","Cod",11687.13477,20621,20620,1,"Std_CS",1,10000,1,8,8
"235","G04","Std-CS3","Saithe",9076.8125,17939,17931,8,"Std_CS",1,10000,3,8,23
"236","G04","Std-CS3","Cod",9415.261719,17939,17933,6,"Std_CS",1,10000,1,8,8
"237","G05","Std-CS3","Saithe",8818.700195,19807,19796,11,"Std_CS",1,10000,3,8,23
"238","G05","Std-CS3","Cod",10347.26855,19807,19804,3,"Std_CS",1,10000,1,8,8
"239","G06","Std-CS3","Cod",9743.205078,19755,19750,5,"Std_CS",1,10000,1,8,8
"240","G07","Std-CS3","Saithe",8697.353516,19490,19478,12,"Std_CS",1,10000,3,8,23
"241","G07","Std-CS3","Cod",9331.466797,19490,19483,7,"Std_CS",1,10000,1,8,8
"242","G08","Std-CS3","Saithe",9772.785156,20258,20253,5,"Std_CS",1,10000,3,8,23
"243","G08","Std-CS3","Cod",10035.30566,20258,20254,4,"Std_CS",1,10000,1,8,8
"244","G09","Std-CS10","Saithe",0,20764,0,20764,"Std_CS",0,0.001,3,1,16
"245","G09","Std-CS10","Cod",0,20764,0,20764,"Std_CS",0,0.001,1,1,1
"246","H09","Std-CS10","Saithe",0,21196,0,21196,"Std_CS",0,0.001,3,1,16
"247","H09","Std-CS10","Cod",0,21196,0,21196,"Std_CS",0,0.001,1,1,1
